date,newCasesBySpecimenDate
12/04/2023,1265
11/04/2023,2032
10/04/2023,2009
09/04/2023,1575
08/04/2023,1465
07/04/2023,1531
06/04/2023,1892
05/04/2023,2178
04/04/2023,2123
03/04/2023,2422
02/04/2023,2242
01/04/2023,2059
31/03/2023,2493
30/03/2023,3028
29/03/2023,3424
28/03/2023,3579
27/03/2023,3918
26/03/2023,3151
25/03/2023,2751
24/03/2023,3734
23/03/2023,3959
22/03/2023,4318
21/03/2023,4749
20/03/2023,4730
19/03/2023,3681
18/03/2023,3098
17/03/2023,3707
16/03/2023,4340
15/03/2023,4366
14/03/2023,5063
13/03/2023,5288
12/03/2023,4025
11/03/2023,3082
10/03/2023,3592
09/03/2023,3959
08/03/2023,4314
07/03/2023,4448
06/03/2023,4575
05/03/2023,3152
04/03/2023,2568
03/03/2023,3417
02/03/2023,3562
01/03/2023,3966
28/02/2023,4151
27/02/2023,4314
26/02/2023,2897
25/02/2023,2524
24/02/2023,3113
23/02/2023,3483
22/02/2023,3851
21/02/2023,4311
20/02/2023,4544
19/02/2023,3436
18/02/2023,2905
17/02/2023,3779
16/02/2023,4006
15/02/2023,3897
14/02/2023,4352
13/02/2023,4541
12/02/2023,2921
11/02/2023,2394
10/02/2023,3045
09/02/2023,3037
08/02/2023,3331
07/02/2023,3391
06/02/2023,3620
05/02/2023,2613
04/02/2023,2223
03/02/2023,2743
02/02/2023,2954
01/02/2023,3209
31/01/2023,3275
30/01/2023,3271
29/01/2023,2249
28/01/2023,1802
27/01/2023,2269
26/01/2023,2334
25/01/2023,2419
24/01/2023,2549
23/01/2023,2384
22/01/2023,1748
21/01/2023,1400
20/01/2023,1700
19/01/2023,1808
18/01/2023,1895
17/01/2023,1984
16/01/2023,2308
15/01/2023,1673
14/01/2023,1325
13/01/2023,1910
12/01/2023,2199
11/01/2023,2369
10/01/2023,2799
09/01/2023,3205
08/01/2023,2494
07/01/2023,2413
06/01/2023,3409
05/01/2023,4162
04/01/2023,5006
03/01/2023,5738
02/01/2023,4632
01/01/2023,3333
31/12/2022,3887
30/12/2022,5517
29/12/2022,6945
28/12/2022,7604
27/12/2022,5972
26/12/2022,4488
25/12/2022,3382
24/12/2022,3778
23/12/2022,5221
22/12/2022,6234
21/12/2022,7034
20/12/2022,7829
19/12/2022,8236
18/12/2022,5210
17/12/2022,4272
16/12/2022,5528
15/12/2022,5547
14/12/2022,5961
13/12/2022,6483
12/12/2022,6352
11/12/2022,4225
10/12/2022,3285
09/12/2022,3825
08/12/2022,4092
07/12/2022,4640
06/12/2022,4763
05/12/2022,4852
04/12/2022,3409
03/12/2022,2481
02/12/2022,3273
01/12/2022,3215
30/11/2022,3608
29/11/2022,3972
28/11/2022,4238
27/11/2022,3151
26/11/2022,2304
25/11/2022,2640
24/11/2022,3006
23/11/2022,3241
22/11/2022,3452
21/11/2022,3549
20/11/2022,2611
19/11/2022,2206
18/11/2022,2501
17/11/2022,2703
16/11/2022,2934
15/11/2022,3159
14/11/2022,3494
13/11/2022,2647
12/11/2022,2172
11/11/2022,2561
10/11/2022,2806
09/11/2022,3185
08/11/2022,3378
07/11/2022,3878
06/11/2022,2916
05/11/2022,2374
04/11/2022,2760
03/11/2022,3262
02/11/2022,3599
01/11/2022,4091
31/10/2022,4632
30/10/2022,3827
29/10/2022,3227
28/10/2022,3916
27/10/2022,4374
26/10/2022,4923
25/10/2022,5179
24/10/2022,6147
23/10/2022,5011
22/10/2022,4527
21/10/2022,5760
20/10/2022,6076
19/10/2022,7041
18/10/2022,7665
17/10/2022,9295
16/10/2022,7257
15/10/2022,6005
14/10/2022,7342
13/10/2022,7561
12/10/2022,8120
11/10/2022,8779
10/10/2022,9833
09/10/2022,8014
08/10/2022,6581
07/10/2022,8334
06/10/2022,8818
05/10/2022,9544
04/10/2022,10246
03/10/2022,10881
02/10/2022,8617
01/10/2022,6564
30/09/2022,7098
29/09/2022,7352
28/09/2022,7807
27/09/2022,7644
26/09/2022,8040
25/09/2022,6738
24/09/2022,5309
23/09/2022,6006
22/09/2022,6294
21/09/2022,6940
20/09/2022,7200
19/09/2022,5702
18/09/2022,3943
17/09/2022,3188
16/09/2022,3729
15/09/2022,4201
14/09/2022,4451
13/09/2022,4603
12/09/2022,4749
11/09/2022,3889
10/09/2022,2861
09/09/2022,3103
08/09/2022,3250
07/09/2022,3750
06/09/2022,3941
05/09/2022,4385
04/09/2022,3759
03/09/2022,2971
02/09/2022,3239
01/09/2022,3760
31/08/2022,3975
30/08/2022,4474
29/08/2022,3937
28/08/2022,2882
27/08/2022,2606
26/08/2022,2997
25/08/2022,3266
24/08/2022,3913
23/08/2022,4077
22/08/2022,4575
21/08/2022,3547
20/08/2022,2844
19/08/2022,3317
18/08/2022,3880
17/08/2022,4390
16/08/2022,4832
15/08/2022,5600
14/08/2022,4781
13/08/2022,3977
12/08/2022,4779
11/08/2022,5446
10/08/2022,6003
09/08/2022,6462
08/08/2022,7226
07/08/2022,5897
06/08/2022,4852
05/08/2022,5860
04/08/2022,6524
03/08/2022,7421
02/08/2022,8166
01/08/2022,8815
31/07/2022,7672
30/07/2022,6613
29/07/2022,7584
28/07/2022,8340
27/07/2022,9435
26/07/2022,10482
25/07/2022,11929
24/07/2022,10216
23/07/2022,8909
22/07/2022,11176
21/07/2022,12791
20/07/2022,14534
19/07/2022,14866
18/07/2022,16920
17/07/2022,15704
16/07/2022,13671
15/07/2022,16626
14/07/2022,19340
13/07/2022,21639
12/07/2022,24377
11/07/2022,27200
10/07/2022,23046
09/07/2022,19354
08/07/2022,22173
07/07/2022,24049
06/07/2022,26742
05/07/2022,28118
04/07/2022,30388
03/07/2022,25174
02/07/2022,19586
01/07/2022,21068
30/06/2022,21510
29/06/2022,21720
28/06/2022,21873
27/06/2022,21897
26/06/2022,18040
25/06/2022,14478
24/06/2022,15627
23/06/2022,16700
22/06/2022,17764
21/06/2022,17531
20/06/2022,16922
19/06/2022,14524
18/06/2022,11635
17/06/2022,11640
16/06/2022,11915
15/06/2022,12388
14/06/2022,12661
13/06/2022,12956
12/06/2022,10718
11/06/2022,8468
10/06/2022,9154
09/06/2022,9590
08/06/2022,9952
07/06/2022,9484
06/06/2022,9800
05/06/2022,8351
04/06/2022,6278
03/06/2022,5582
02/06/2022,5081
01/06/2022,5713
31/05/2022,5734
30/05/2022,5928
29/05/2022,4687
28/05/2022,4153
27/05/2022,4495
26/05/2022,4819
25/05/2022,5191
24/05/2022,5593
23/05/2022,6248
22/05/2022,5151
21/05/2022,4243
20/05/2022,5049
19/05/2022,5785
18/05/2022,6391
17/05/2022,6833
16/05/2022,7886
15/05/2022,6730
14/05/2022,5139
13/05/2022,5794
12/05/2022,6376
11/05/2022,7265
10/05/2022,8155
09/05/2022,8878
08/05/2022,7664
07/05/2022,6356
06/05/2022,7518
05/05/2022,8594
04/05/2022,9783
03/05/2022,11156
02/05/2022,10343
01/05/2022,7718
30/04/2022,6863
29/04/2022,7992
28/04/2022,9057
27/04/2022,10120
26/04/2022,11294
25/04/2022,13401
24/04/2022,11867
23/04/2022,10572
22/04/2022,12528
21/04/2022,14520
20/04/2022,16973
19/04/2022,20595
18/04/2022,20567
17/04/2022,16262
16/04/2022,16091
15/04/2022,17305
14/04/2022,21435
13/04/2022,25507
12/04/2022,27383
11/04/2022,30598
10/04/2022,25641
09/04/2022,23015
08/04/2022,27393
07/04/2022,31746
06/04/2022,36891
05/04/2022,40393
04/04/2022,45142
03/04/2022,35605
02/04/2022,31610
01/04/2022,40343
31/03/2022,45881
30/03/2022,62750
29/03/2022,67440
28/03/2022,78912
27/03/2022,58001
26/03/2022,51778
25/03/2022,60259
24/03/2022,68604
23/03/2022,77598
22/03/2022,81847
21/03/2022,89909
20/03/2022,66905
19/03/2022,55212
18/03/2022,61907
17/03/2022,67687
16/03/2022,73954
15/03/2022,74103
14/03/2022,79518
13/03/2022,60271
12/03/2022,49163
11/03/2022,52272
10/03/2022,54301
09/03/2022,55492
08/03/2022,52343
07/03/2022,50983
06/03/2022,35914
05/03/2022,28508
04/03/2022,30605
03/03/2022,31533
02/03/2022,33361
01/03/2022,31863
28/02/2022,31865
27/02/2022,22165
26/02/2022,17604
25/02/2022,19532
24/02/2022,21883
23/02/2022,26008
22/02/2022,28017
21/02/2022,33034
20/02/2022,28410
19/02/2022,26429
18/02/2022,24924
17/02/2022,34168
16/02/2022,39444
15/02/2022,40145
14/02/2022,42492
13/02/2022,32326
12/02/2022,29142
11/02/2022,34943
10/02/2022,41331
09/02/2022,51014
08/02/2022,55437
07/02/2022,62672
06/02/2022,50146
05/02/2022,43233
04/02/2022,52556
03/02/2022,64032
02/02/2022,73908
01/02/2022,78512
31/01/2022,88503
30/01/2022,74980
29/01/2022,63024
28/01/2022,71682
27/01/2022,82727
26/01/2022,93211
25/01/2022,96954
24/01/2022,109233
23/01/2022,88557
22/01/2022,70483
21/01/2022,79173
20/01/2022,86953
19/01/2022,97334
18/01/2022,103308
17/01/2022,114776
16/01/2022,85599
15/01/2022,67820
14/01/2022,75174
13/01/2022,84133
12/01/2022,90002
11/01/2022,100980
10/01/2022,116341
09/01/2022,83079
08/01/2022,81219
07/01/2022,105080
06/01/2022,150787
05/01/2022,183803
04/01/2022,234872
03/01/2022,193616
02/01/2022,148609
01/01/2022,99304
31/12/2021,152886
30/12/2021,192824
29/12/2021,224030
28/12/2021,170584
27/12/2021,155566
26/12/2021,98916
25/12/2021,59912
24/12/2021,117562
23/12/2021,137021
22/12/2021,138142
21/12/2021,129599
20/12/2021,117576
19/12/2021,78497
18/12/2021,78930
17/12/2021,84967
16/12/2021,93803
15/12/2021,99653
14/12/2021,90717
13/12/2021,76507
12/12/2021,46367
11/12/2021,41940
10/12/2021,45017
09/12/2021,48816
08/12/2021,50059
07/12/2021,48146
06/12/2021,51122
05/12/2021,35037
04/12/2021,33379
03/12/2021,39222
02/12/2021,43045
01/12/2021,47263
30/11/2021,47631
29/11/2021,47940
28/11/2021,33857
27/11/2021,28459
26/11/2021,33666
25/11/2021,37142
24/11/2021,39880
23/11/2021,41015
22/11/2021,42868
21/11/2021,31763
20/11/2021,29868
19/11/2021,33186
18/11/2021,37097
17/11/2021,38256
16/11/2021,38656
15/11/2021,42477
14/11/2021,29599
13/11/2021,27357
12/11/2021,31337
11/11/2021,33700
10/11/2021,35390
09/11/2021,34679
08/11/2021,36138
07/11/2021,25447
06/11/2021,22581
05/11/2021,24405
04/11/2021,27378
03/11/2021,29396
02/11/2021,31328
01/11/2021,37663
31/10/2021,29564
30/10/2021,28243
29/10/2021,33995
28/10/2021,35077
27/10/2021,36524
26/10/2021,35276
25/10/2021,39957
24/10/2021,30092
23/10/2021,29747
22/10/2021,34507
21/10/2021,38580
20/10/2021,43963
19/10/2021,44630
18/10/2021,49257
17/10/2021,37502
16/10/2021,31639
15/10/2021,36631
14/10/2021,39263
13/10/2021,40546
12/10/2021,40892
11/10/2021,43115
10/10/2021,31499
09/10/2021,27180
08/10/2021,29847
07/10/2021,32158
06/10/2021,32547
05/10/2021,32268
04/10/2021,36476
03/10/2021,27137
02/10/2021,21873
01/10/2021,24134
30/09/2021,26809
29/09/2021,28688
28/09/2021,29627
27/09/2021,34595
26/09/2021,26814
25/09/2021,23389
24/09/2021,25754
23/09/2021,28340
22/09/2021,28789
21/09/2021,30547
20/09/2021,32121
19/09/2021,24789
18/09/2021,20926
17/09/2021,22375
16/09/2021,22319
15/09/2021,22414
14/09/2021,22640
13/09/2021,25199
12/09/2021,17879
11/09/2021,16956
10/09/2021,21031
09/09/2021,24440
08/09/2021,25660
07/09/2021,27938
06/09/2021,33135
05/09/2021,23457
04/09/2021,23409
03/09/2021,28728
02/09/2021,30636
01/09/2021,31601
31/08/2021,33565
30/08/2021,24972
29/08/2021,19152
28/08/2021,20138
27/08/2021,24252
26/08/2021,26482
25/08/2021,27901
24/08/2021,28212
23/08/2021,30333
22/08/2021,22409
21/08/2021,22603
20/08/2021,25555
19/08/2021,29080
18/08/2021,31426
17/08/2021,31095
16/08/2021,30860
15/08/2021,21280
14/08/2021,21336
13/08/2021,24991
12/08/2021,27690
11/08/2021,29134
10/08/2021,27610
09/08/2021,28292
08/08/2021,20157
07/08/2021,19957
06/08/2021,24851
05/08/2021,28125
04/08/2021,28895
03/08/2021,27061
02/08/2021,26580
01/08/2021,18714
31/07/2021,18449
30/07/2021,22110
29/07/2021,25361
28/07/2021,26925
27/07/2021,26027
26/07/2021,26540
25/07/2021,19657
24/07/2021,20276
23/07/2021,24586
22/07/2021,27711
21/07/2021,31676
20/07/2021,35948
19/07/2021,43401
18/07/2021,33163
17/07/2021,35280
16/07/2021,51138
15/07/2021,57583
14/07/2021,50320
13/07/2021,43246
12/07/2021,40478
11/07/2021,27418
10/07/2021,25411
09/07/2021,29049
08/07/2021,29927
07/07/2021,34274
06/07/2021,31627
05/07/2021,30215
04/07/2021,21806
03/07/2021,20638
02/07/2021,22288
01/07/2021,24267
30/06/2021,23941
29/06/2021,23250
28/06/2021,23511
27/06/2021,15407
26/06/2021,13486
25/06/2021,14901
24/06/2021,15082
23/06/2021,14806
22/06/2021,13564
21/06/2021,12708
20/06/2021,8204
19/06/2021,7127
18/06/2021,8772
17/06/2021,9523
16/06/2021,9411
15/06/2021,9154
14/06/2021,8941
13/06/2021,6075
12/06/2021,5422
11/06/2021,6510
10/06/2021,6717
09/06/2021,6919
08/06/2021,6630
07/06/2021,6790
06/06/2021,4730
05/06/2021,3964
04/06/2021,4885
03/06/2021,5131
02/06/2021,5039
01/06/2021,4515
31/05/2021,3170
30/05/2021,2598
29/05/2021,2462
28/05/2021,2929
27/05/2021,3075
26/05/2021,3179
25/05/2021,2797
24/05/2021,2750
23/05/2021,1918
22/05/2021,1606
21/05/2021,1871
20/05/2021,2000
19/05/2021,2261
18/05/2021,2241
17/05/2021,2341
16/05/2021,1587
15/05/2021,1306
14/05/2021,1540
13/05/2021,1737
12/05/2021,1869
11/05/2021,1871
10/05/2021,2325
09/05/2021,1985
08/05/2021,1301
07/05/2021,1657
06/05/2021,1967
05/05/2021,2203
04/05/2021,2200
03/05/2021,1806
02/05/2021,1305
01/05/2021,1210
30/04/2021,1528
29/04/2021,1901
28/04/2021,2153
27/04/2021,1809
26/04/2021,2268
25/04/2021,1897
24/04/2021,1300
23/04/2021,1701
22/04/2021,2032
21/04/2021,2298
20/04/2021,2112
19/04/2021,2268
18/04/2021,2281
17/04/2021,1398
16/04/2021,1963
15/04/2021,1959
14/04/2021,2068
13/04/2021,2060
12/04/2021,2399
11/04/2021,2020
10/04/2021,2009
09/04/2021,2482
08/04/2021,2651
07/04/2021,2752
06/04/2021,2756
05/04/2021,2314
04/04/2021,2043
03/04/2021,2120
02/04/2021,2248
01/04/2021,3067
31/03/2021,3340
30/03/2021,3135
29/03/2021,3422
28/03/2021,4476
27/03/2021,3136
26/03/2021,3803
25/03/2021,4674
24/03/2021,5321
23/03/2021,4566
22/03/2021,5399
21/03/2021,4679
20/03/2021,3514
19/03/2021,4333
18/03/2021,4689
17/03/2021,5048
16/03/2021,4933
15/03/2021,5643
14/03/2021,3707
13/03/2021,3592
12/03/2021,4767
11/03/2021,4848
10/03/2021,5223
09/03/2021,5488
08/03/2021,5817
07/03/2021,3677
06/03/2021,3832
05/03/2021,4728
04/03/2021,5011
03/03/2021,5305
02/03/2021,5951
01/03/2021,6215
28/02/2021,4112
27/02/2021,4254
26/02/2021,5883
25/02/2021,6935
24/02/2021,7620
23/02/2021,8536
22/02/2021,10278
21/02/2021,7032
20/02/2021,7161
19/02/2021,9246
18/02/2021,10304
17/02/2021,10419
16/02/2021,11270
15/02/2021,12953
14/02/2021,7780
13/02/2021,8025
12/02/2021,10986
11/02/2021,11637
10/02/2021,12272
09/02/2021,12696
08/02/2021,14370
07/02/2021,10457
06/02/2021,10951
05/02/2021,14462
04/02/2021,16717
03/02/2021,17948
02/02/2021,18194
01/02/2021,20765
31/01/2021,14138
30/01/2021,15524
29/01/2021,20362
28/01/2021,22523
27/01/2021,23899
26/01/2021,25210
25/01/2021,27972
24/01/2021,15883
23/01/2021,20426
22/01/2021,27741
21/01/2021,29633
20/01/2021,32679
19/01/2021,37056
18/01/2021,41936
17/01/2021,26976
16/01/2021,28412
15/01/2021,37878
14/01/2021,39659
13/01/2021,42303
12/01/2021,45968
11/01/2021,53519
10/01/2021,33749
09/01/2021,36419
08/01/2021,43494
07/01/2021,48132
06/01/2021,52752
05/01/2021,59599
04/01/2021,70919
03/01/2021,50664
02/01/2021,55428
01/01/2021,28879
31/12/2020,47823
30/12/2020,64243
29/12/2020,74058
28/12/2020,40845
27/12/2020,43250
26/12/2020,37462
25/12/2020,12926
24/12/2020,29287
23/12/2020,38383
22/12/2020,41741
21/12/2020,43446
20/12/2020,29556
19/12/2020,22196
18/12/2020,32426
17/12/2020,30160
16/12/2020,30650
15/12/2020,29652
14/12/2020,30019
13/12/2020,18409
12/12/2020,16268
11/12/2020,20177
10/12/2020,18850
09/12/2020,17744
08/12/2020,16937
07/12/2020,17663
06/12/2020,11036
05/12/2020,10302
04/12/2020,13065
03/12/2020,12762
02/12/2020,13662
01/12/2020,13731
30/11/2020,15227
29/11/2020,9067
28/11/2020,9347
27/11/2020,12460
26/11/2020,12459
25/11/2020,14154
24/11/2020,14264
23/11/2020,16472
22/11/2020,10216
21/11/2020,10806
20/11/2020,14960
19/11/2020,15797
18/11/2020,18549
17/11/2020,20676
16/11/2020,24135
15/11/2020,14421
14/11/2020,16290
13/11/2020,22008
12/11/2020,22320
11/11/2020,25065
10/11/2020,24836
09/11/2020,28561
08/11/2020,18272
07/11/2020,16888
06/11/2020,21180
05/11/2020,21205
04/11/2020,21053
03/11/2020,22690
02/11/2020,28393
01/11/2020,13611
31/10/2020,14565
30/10/2020,19899
29/10/2020,20257
28/10/2020,20547
27/10/2020,20761
26/10/2020,23033
25/10/2020,13354
24/10/2020,13713
23/10/2020,18359
22/10/2020,19866
21/10/2020,21762
20/10/2020,21638
19/10/2020,22369
18/10/2020,11982
17/10/2020,12487
16/10/2020,14761
15/10/2020,15429
14/10/2020,16646
13/10/2020,15660
12/10/2020,16420
11/10/2020,9781
10/10/2020,10301
09/10/2020,13159
08/10/2020,15452
07/10/2020,15418
06/10/2020,14458
05/10/2020,14218
04/10/2020,9966
03/10/2020,9820
02/10/2020,11719
01/10/2020,11444
30/09/2020,10663
29/09/2020,8832
28/09/2020,8641
27/09/2020,6084
26/09/2020,5704
25/09/2020,6105
24/09/2020,6361
23/09/2020,5933
22/09/2020,5400
21/09/2020,4727
20/09/2020,4652
19/09/2020,4215
18/09/2020,4290
17/09/2020,3979
16/09/2020,3778
15/09/2020,3057
14/09/2020,2941
13/09/2020,1722
12/09/2020,2224
11/09/2020,2893
10/09/2020,3143
09/09/2020,2893
08/09/2020,3071
07/09/2020,3530
06/09/2020,2079
05/09/2020,2200
04/09/2020,2637
03/09/2020,2716
02/09/2020,2696
01/09/2020,1962
31/08/2020,1279
30/08/2020,987
29/08/2020,1051
28/08/2020,1395
27/08/2020,1356
26/08/2020,1181
25/08/2020,1085
24/08/2020,1157
23/08/2020,704
22/08/2020,732
21/08/2020,1031
20/08/2020,1254
19/08/2020,1109
18/08/2020,955
17/08/2020,1159
16/08/2020,534
15/08/2020,656
14/08/2020,1059
13/08/2020,1036
12/08/2020,1126
11/08/2020,1247
10/08/2020,1375
09/08/2020,569
08/08/2020,648
07/08/2020,892
06/08/2020,1005
05/08/2020,974
04/08/2020,965
03/08/2020,963
02/08/2020,518
01/08/2020,508
31/07/2020,644
30/07/2020,879
29/07/2020,994
28/07/2020,796
27/07/2020,824
26/07/2020,518
25/07/2020,499
24/07/2020,720
23/07/2020,741
22/07/2020,764
21/07/2020,697
20/07/2020,769
19/07/2020,419
18/07/2020,473
17/07/2020,548
16/07/2020,644
15/07/2020,726
14/07/2020,661
13/07/2020,694
12/07/2020,351
11/07/2020,433
10/07/2020,524
09/07/2020,688
