areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,12/04/2023,1265,20772220,759,19233710,506,1538510
nation,England,E92000001,11/04/2023,2032,20770955,1291,19232951,741,1538004
nation,England,E92000001,10/04/2023,2009,20768923,1243,19231660,766,1537263
nation,England,E92000001,09/04/2023,1575,20766914,1039,19230417,536,1536497
nation,England,E92000001,08/04/2023,1465,20765339,952,19229378,513,1535961
nation,England,E92000001,07/04/2023,1531,20763874,999,19228426,532,1535448
nation,England,E92000001,06/04/2023,1892,20762343,1230,19227427,662,1534916
nation,England,E92000001,05/04/2023,2178,20760451,1374,19226197,804,1534254
nation,England,E92000001,04/04/2023,2123,20758273,1381,19224823,742,1533450
nation,England,E92000001,03/04/2023,2422,20756150,1530,19223442,892,1532708
nation,England,E92000001,02/04/2023,2242,20753728,1411,19221912,831,1531816
nation,England,E92000001,01/04/2023,2059,20751486,1322,19220501,737,1530985
nation,England,E92000001,31/03/2023,2493,20749427,1588,19219179,905,1530248
nation,England,E92000001,30/03/2023,3028,20746934,1928,19217591,1100,1529343
nation,England,E92000001,29/03/2023,3424,20743906,2106,19215663,1318,1528243
nation,England,E92000001,28/03/2023,3579,20740482,2206,19213557,1373,1526925
nation,England,E92000001,27/03/2023,3918,20736903,2347,19211351,1571,1525552
nation,England,E92000001,26/03/2023,3151,20732985,1879,19209004,1272,1523981
nation,England,E92000001,25/03/2023,2751,20729834,1715,19207125,1036,1522709
nation,England,E92000001,24/03/2023,3734,20727083,2309,19205410,1425,1521673
nation,England,E92000001,23/03/2023,3959,20723349,2371,19203101,1588,1520248
nation,England,E92000001,22/03/2023,4318,20719390,2611,19200730,1707,1518660
nation,England,E92000001,21/03/2023,4749,20715072,2883,19198119,1866,1516953
nation,England,E92000001,20/03/2023,4730,20710323,2789,19195236,1941,1515087
nation,England,E92000001,19/03/2023,3681,20705593,2176,19192447,1505,1513146
nation,England,E92000001,18/03/2023,3098,20701912,1916,19190271,1182,1511641
nation,England,E92000001,17/03/2023,3707,20698814,2336,19188355,1371,1510459
nation,England,E92000001,16/03/2023,4340,20695107,2639,19186019,1701,1509088
nation,England,E92000001,15/03/2023,4366,20690767,2661,19183380,1705,1507387
nation,England,E92000001,14/03/2023,5063,20686401,3057,19180719,2006,1505682
nation,England,E92000001,13/03/2023,5288,20681338,3139,19177662,2149,1503676
nation,England,E92000001,12/03/2023,4025,20676050,2389,19174523,1636,1501527
nation,England,E92000001,11/03/2023,3082,20672025,1890,19172134,1192,1499891
nation,England,E92000001,10/03/2023,3592,20668943,2267,19170244,1325,1498699
nation,England,E92000001,09/03/2023,3959,20665351,2426,19167977,1533,1497374
nation,England,E92000001,08/03/2023,4314,20661392,2633,19165551,1681,1495841
nation,England,E92000001,07/03/2023,4448,20657078,2730,19162918,1718,1494160
nation,England,E92000001,06/03/2023,4575,20652630,2696,19160188,1879,1492442
nation,England,E92000001,05/03/2023,3152,20648055,1897,19157492,1255,1490563
nation,England,E92000001,04/03/2023,2568,20644903,1554,19155595,1014,1489308
nation,England,E92000001,03/03/2023,3417,20642335,2079,19154041,1338,1488294
nation,England,E92000001,02/03/2023,3562,20638918,2233,19151962,1329,1486956
nation,England,E92000001,01/03/2023,3966,20635356,2436,19149729,1530,1485627
nation,England,E92000001,28/02/2023,4151,20631390,2474,19147293,1677,1484097
nation,England,E92000001,27/02/2023,4314,20627239,2625,19144819,1689,1482420
nation,England,E92000001,26/02/2023,2897,20622925,1777,19142194,1120,1480731
nation,England,E92000001,25/02/2023,2524,20620028,1588,19140417,936,1479611
nation,England,E92000001,24/02/2023,3113,20617504,1928,19138829,1185,1478675
nation,England,E92000001,23/02/2023,3483,20614391,2181,19136901,1302,1477490
nation,England,E92000001,22/02/2023,3851,20610908,2317,19134720,1534,1476188
nation,England,E92000001,21/02/2023,4311,20607057,2546,19132403,1765,1474654
nation,England,E92000001,20/02/2023,4544,20602746,2705,19129857,1839,1472889
nation,England,E92000001,19/02/2023,3436,20598202,2061,19127152,1375,1471050
nation,England,E92000001,18/02/2023,2905,20594766,1842,19125091,1063,1469675
nation,England,E92000001,17/02/2023,3779,20591861,2316,19123249,1463,1468612
nation,England,E92000001,16/02/2023,4006,20588082,2506,19120933,1500,1467149
nation,England,E92000001,15/02/2023,3897,20584076,2388,19118427,1509,1465649
nation,England,E92000001,14/02/2023,4352,20580179,2631,19116039,1721,1464140
nation,England,E92000001,13/02/2023,4541,20575827,2759,19113408,1782,1462419
nation,England,E92000001,12/02/2023,2921,20571286,1808,19110649,1113,1460637
nation,England,E92000001,11/02/2023,2394,20568365,1506,19108841,888,1459524
nation,England,E92000001,10/02/2023,3045,20565971,1940,19107335,1105,1458636
nation,England,E92000001,09/02/2023,3037,20562926,1881,19105395,1156,1457531
nation,England,E92000001,08/02/2023,3331,20559889,2000,19103514,1331,1456375
nation,England,E92000001,07/02/2023,3391,20556558,2062,19101514,1329,1455044
nation,England,E92000001,06/02/2023,3620,20553167,2159,19099452,1461,1453715
nation,England,E92000001,05/02/2023,2613,20549547,1569,19097293,1044,1452254
nation,England,E92000001,04/02/2023,2223,20546934,1372,19095724,851,1451210
nation,England,E92000001,03/02/2023,2743,20544711,1706,19094352,1037,1450359
nation,England,E92000001,02/02/2023,2954,20541968,1858,19092646,1096,1449322
nation,England,E92000001,01/02/2023,3209,20539014,1958,19090788,1251,1448226
nation,England,E92000001,31/01/2023,3275,20535805,1941,19088830,1334,1446975
nation,England,E92000001,30/01/2023,3271,20532530,1978,19086889,1293,1445641
nation,England,E92000001,29/01/2023,2249,20529259,1307,19084911,942,1444348
nation,England,E92000001,28/01/2023,1802,20527010,1175,19083604,627,1443406
nation,England,E92000001,27/01/2023,2269,20525208,1453,19082429,816,1442779
nation,England,E92000001,26/01/2023,2334,20522939,1463,19080976,871,1441963
nation,England,E92000001,25/01/2023,2419,20520605,1466,19079513,953,1441092
nation,England,E92000001,24/01/2023,2549,20518186,1532,19078047,1017,1440139
nation,England,E92000001,23/01/2023,2384,20515637,1449,19076515,935,1439122
nation,England,E92000001,22/01/2023,1748,20513253,1017,19075066,731,1438187
nation,England,E92000001,21/01/2023,1400,20511505,902,19074049,498,1437456
nation,England,E92000001,20/01/2023,1700,20510105,1095,19073147,605,1436958
nation,England,E92000001,19/01/2023,1808,20508405,1122,19072052,686,1436353
nation,England,E92000001,18/01/2023,1895,20506597,1207,19070930,688,1435667
nation,England,E92000001,17/01/2023,1984,20504702,1244,19069723,740,1434979
nation,England,E92000001,16/01/2023,2308,20502718,1401,19068479,907,1434239
nation,England,E92000001,15/01/2023,1673,20500410,1020,19067078,653,1433332
nation,England,E92000001,14/01/2023,1325,20498737,896,19066058,429,1432679
nation,England,E92000001,13/01/2023,1910,20497412,1217,19065162,693,1432250
nation,England,E92000001,12/01/2023,2199,20495502,1430,19063945,769,1431557
nation,England,E92000001,11/01/2023,2369,20493303,1556,19062515,813,1430788
nation,England,E92000001,10/01/2023,2799,20490934,1792,19060959,1007,1429975
nation,England,E92000001,09/01/2023,3205,20488135,2022,19059167,1183,1428968
nation,England,E92000001,08/01/2023,2494,20484930,1589,19057145,905,1427785
nation,England,E92000001,07/01/2023,2413,20482436,1629,19055556,784,1426880
nation,England,E92000001,06/01/2023,3409,20480023,2290,19053927,1119,1426096
nation,England,E92000001,05/01/2023,4162,20476614,2647,19051637,1515,1424977
nation,England,E92000001,04/01/2023,5006,20472452,3164,19048990,1842,1423462
nation,England,E92000001,03/01/2023,5738,20467446,3566,19045826,2172,1421620
nation,England,E92000001,02/01/2023,4632,20461708,2943,19042260,1689,1419448
nation,England,E92000001,01/01/2023,3333,20457076,2273,19039317,1060,1417759
nation,England,E92000001,31/12/2022,3887,20453743,2647,19037044,1240,1416699
nation,England,E92000001,30/12/2022,5517,20449856,3758,19034397,1759,1415459
nation,England,E92000001,29/12/2022,6945,20444339,4713,19030639,2232,1413700
nation,England,E92000001,28/12/2022,7604,20437394,5074,19025926,2530,1411468
nation,England,E92000001,27/12/2022,5972,20429790,3917,19020852,2055,1408938
nation,England,E92000001,26/12/2022,4488,20423818,3047,19016935,1441,1406883
nation,England,E92000001,25/12/2022,3382,20419330,2413,19013888,969,1405442
nation,England,E92000001,24/12/2022,3778,20415948,2737,19011475,1041,1404473
nation,England,E92000001,23/12/2022,5221,20412170,3645,19008738,1576,1403432
nation,England,E92000001,22/12/2022,6234,20406949,4234,19005093,2000,1401856
nation,England,E92000001,21/12/2022,7034,20400715,4719,19000859,2315,1399856
nation,England,E92000001,20/12/2022,7829,20393681,5286,18996140,2543,1397541
nation,England,E92000001,19/12/2022,8236,20385852,5461,18990854,2775,1394998
nation,England,E92000001,18/12/2022,5210,20377616,3479,18985393,1731,1392223
nation,England,E92000001,17/12/2022,4272,20372406,2837,18981914,1435,1390492
nation,England,E92000001,16/12/2022,5528,20368134,3776,18979077,1752,1389057
nation,England,E92000001,15/12/2022,5547,20362606,3619,18975301,1928,1387305
nation,England,E92000001,14/12/2022,5961,20357059,3900,18971682,2061,1385377
nation,England,E92000001,13/12/2022,6483,20351098,4218,18967782,2265,1383316
nation,England,E92000001,12/12/2022,6352,20344615,4158,18963564,2194,1381051
nation,England,E92000001,11/12/2022,4225,20338263,2704,18959406,1521,1378857
nation,England,E92000001,10/12/2022,3285,20334038,2180,18956702,1105,1377336
nation,England,E92000001,09/12/2022,3825,20330753,2562,18954522,1263,1376231
nation,England,E92000001,08/12/2022,4092,20326928,2675,18951960,1417,1374968
nation,England,E92000001,07/12/2022,4640,20322836,2945,18949285,1695,1373551
nation,England,E92000001,06/12/2022,4763,20318196,3057,18946340,1706,1371856
nation,England,E92000001,05/12/2022,4852,20313433,3019,18943283,1833,1370150
nation,England,E92000001,04/12/2022,3409,20308581,2182,18940264,1227,1368317
nation,England,E92000001,03/12/2022,2481,20305172,1621,18938082,860,1367090
nation,England,E92000001,02/12/2022,3273,20302691,2149,18936461,1124,1366230
nation,England,E92000001,01/12/2022,3215,20299418,2065,18934312,1150,1365106
nation,England,E92000001,30/11/2022,3608,20296203,2263,18932247,1345,1363956
nation,England,E92000001,29/11/2022,3972,20292595,2525,18929984,1447,1362611
nation,England,E92000001,28/11/2022,4238,20288623,2703,18927459,1535,1361164
nation,England,E92000001,27/11/2022,3151,20284385,1964,18924756,1187,1359629
nation,England,E92000001,26/11/2022,2304,20281234,1486,18922792,818,1358442
nation,England,E92000001,25/11/2022,2640,20278930,1773,18921306,867,1357624
nation,England,E92000001,24/11/2022,3006,20276290,1882,18919533,1124,1356757
